fecha,temp_media,temp_min,tem_max,humedad,cant_lluvia,rad_solar,vel_viento,acumulado_anual,acumulado_verano
31/12/1985,14.3,6.4,20.9,0,208.6,0,6.1,208.1,56.1
31/12/1986,12.9,5.8,20.5,58.1,130.3,0,6.8,130,20.7
31/12/1987,13.8,6.8,20.7,60.3,199.5,0,6.4,199.3,77.1
31/12/1988,12.9,5.5,20.4,54.9,85.5,0,6.3,85.4,29
31/12/1989,14.5,7.1,21.9,56.5,92.5,0,6.3,92,12.8
31/12/1990,14.2,6.8,21.7,56.2,96,0,7.4,95.8,0.8
31/12/1991,13.2,5.8,20.6,60.3,240,0,6.3,239.7,41.5
31/12/1992,14.4,4.7,19.9,62.2,335.2,0,6.4,334.8,109.7
31/12/1993,14.8,5.5,21,58.1,155.7,0,5.9,155.2,72.2
31/12/1994,13.5,4.6,24.3,53.7,82.5,0,15.5,82.3,22.1
31/12/1995,11.9,2.6,22,18.5,267.8,0,14.1,267.2,92.2
31/12/1996,13.9,5.3,22.9,42.6,59.8,0,5.8,59.6,17.8
31/12/1997,13,6.4,20,56.3,278.6,0,5.9,278.2,87.2
31/12/1998,13.5,6.7,20.7,49.9,355,0,6.7,354.6,44.2
31/12/1999,12.4,5.6,19.3,55.1,302.4,0,12.2,302.1,106.8
31/12/2000,14,5.5,23,42,212.5,0,11.1,211.9,54.3
31/12/2001,13.3,6.1,20.5,21.9,188.1,0,6.5,187.7,38.8
31/12/2002,12.7,6.4,19.5,56.4,218,0,9,217.7,31.3
31/12/2003,12.2,3.7,22.2,55.7,161,4894.2,8.2,160.7,38
31/12/2004,12.9,4.9,22.4,58.2,143.9,4916,7.9,143.4,36.6
31/12/2005,12.5,4.3,21.5,61.6,179.8,5019,7.9,179.5,56.4
31/12/2006,13.4,6,21.1,51.5,200.5,4392.7,8.8,200,19.8
31/12/2007,12.5,5.2,20,50.9,194.4,4384.8,7.4,194,100.5
31/12/2008,13.4,5.8,21.1,54.3,163.3,4129.4,6.8,162.5,48.1
31/12/2009,13.4,6,20.8,50.1,168.5,4093.6,9.4,168.1,27.3
31/12/2010,13.1,5.7,20.6,50.5,184,4439.2,8.4,183.7,81.8
31/12/2011,13.8,6.3,21.3,50.6,130.7,4266.2,6.8,130.1,34.2
31/12/2012,13.5,6.1,20.9,50.4,171.8,4208.4,4.9,171.5,99.1
31/12/2013,13.6,6.8,20.7,56.3,197.6,4248.9,4.4,197.4,88.6
31/12/2014,13.6,6.7,20.6,54,187.2,4227,4.8,186.6,11.5
31/12/2015,13.8,6.3,21,51.9,112.9,4342.4,6.5,112.6,25.3
31/12/2016,13.5,6.4,20.8,61.4,218,4168.5,7.2,217.4,45
31/12/2017,14.2,6.8,21.6,57.5,265.2,4218.7,6.4,264.8,51.4
31/12/2018,13.8,6,21.6,55.8,93.2,4166.8,4.1,92.7,19.1
31/12/2019,13.6,5.8,21.4,55.8,170.7,4229.9,5.1,170.2,77.6
31/12/2020,14.3,6.6,22,54.5,92,4279.9,5.7,91.5,7.6