fecha,esquila,ovejas,corderos,kilos_lana,rinde_seco,finura,kilo_lana_p/animal,porcentaje_paricion
31/12/1985,3514,1419,912,15600,0,0,4.44,64.27
31/12/1986,3783,1520,680,18167,0,0,4.80,44.74
31/12/1987,3988,1928,512,11200,0,0,2.81,26.56
31/12/1988,3590,1560,310,13197,0,0,3.68,19.87
31/12/1989,2830,1210,150,12300,0,0,4.35,12.40
31/12/1990,2396,998,124,13900,0,0,5.80,12.42
31/12/1991,2503,1122,60,15800,0,0,6.31,5.35
31/12/1992,2790,1125,70,11600,0,0,4.16,6.22
31/12/1993,2765,1240,65,10306,0,0,3.73,5.24
31/12/1994,2641,925,34,9000,0,0,3.41,3.68
31/12/1995,2207,1159,527,9931,0,0,4.50,45.47
31/12/1996,2166,849,410,9730,0,0,4.49,48.29
31/12/1997,1940,768,520,11763,0,0,6.06,67.71
31/12/1998,2805,1124,507,12400,0,0,4.42,45.11
31/12/1999,3000,1124,507,13700,0,0,4.57,45.11
31/12/2000,3200,1632,672,17349,65.27,20.8,5.42,41.18
31/12/2001,3389,1378,450,13522,61.80,21,3.99,32.66
31/12/2002,3500,1688,824,17358,61.65,20.93,4.96,48.82
31/12/2003,3850,1952,480,11554,61.10,19.6,3.00,24.59
31/12/2004,3624,1860,816,11267,57.5,19.2,3.11,43.87
31/12/2005,4239,3083,820,15753,56.80,18.5,3.72,26.60
31/12/2006,3634,1850,555,13785,57.8,19.3,3.79,30.00
31/12/2007,3146,1842,79,10336,58.3,19.3,3.29,4.29
31/12/2008,1677,1232,500,5245,0,0,3.13,40.58
31/12/2009,1931,1101,400,8739,53.1,19.6,4.53,36.33
31/12/2010,2221,1009,79,9164,0,0,4.13,7.83
31/12/2011,1651,970,300,6516,55,18.5,3.95,30.93
31/12/2012,1708,896,432,8376,53.9,20.2,4.90,48.21
31/12/2013,1976,923,582,9892,53.9,20.3,5.01,63.06
31/12/2014,2788,1800,200,10510,56.1,19.4,3.77,11.11
31/12/2015,2738,2130,1200,10776,59.1,19.3,3.94,56.34
31/12/2016,3289,2311,1200,10990,60,19.8,3.34,51.93
31/12/2017,3484,2032,1455,11200,59.3,19.5,3.21,71.60
31/12/2018,2963,1200,820,9193,61.3,19.8,3.10,68.33
31/12/2019,3520,2940,1129,13027,56.9,19.8,3.70,38.40
31/12/2020,3320,2021,430,12136,56.1,19.6,3.66,21.28